NAME,Uniprot,stringId,DNA_Repair,GO_CC,GO_BP,GO_MF,Annotation,An.color,An.number
RAP1B,P61224,9606.ENSP00000250559,HR,plasma membrane ,cellular response to cAMP ,GTPase activity ,Chromatin Organization,darkviolet,2
RPS3A,P61247,9606.ENSP00000346050,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPL26,P61254,9606.ENSP00000463784,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,DNA Repair,firebrick1,3
RPL15,P61313,9606.ENSP00000309334,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
MAGOH,P61326,9606.ENSP00000360525,NHEJ,nuclear speck ,"mRNA splicing, via spliceosome ",RNA binding ,RNA Metabolism,gold,8
RPL27,P61353,9606.ENSP00000464813,DSB,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPL37A,P61513,9606.ENSP00000418082,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RHOA,P61586,9606.ENSP00000400175,HR,nucleus,regulation of actin cytoskeleton organization,protein kinase binding,Cell Cycle regulation,coral1,1
RPL37,P61927,9606.ENSP00000274242,NHEJ,ribosome,translation,structural constituent of ribosome,Ribosome Biosynthesis,lightgreen,7
WDR5,P61964,9606.ENSP00000351446,DSB,MLL1 complex ,histone H3-K4 methylation ,methylated histone binding ,Chromatin Organization,darkviolet,2
HNRNPK,P61978,9606.ENSP00000365458,HR,ribonucleoprotein complex ,"mRNA splicing, via spliceosome ",mRNA binding ,DNA Repair,firebrick1,3
YWHAG,P61981,9606.ENSP00000306330,0,focal adhesion ,negative regulation of protein kinase activity ,RNA binding ,Chromatin Organization,darkviolet,2
PPP1CA,P62136,9606.ENSP00000326031,ForkStall,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,Cell Cycle regulation,coral1,1
PPP1CB,P62140,9606.ENSP00000378769,0,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,Cell Cycle regulation,coral1,1
PSMC1,P62191,9606.ENSP00000261303,0, proteasome complex [GO:0000502],proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
PSMC5,P62195,9606.ENSP00000310572,HR,proteasome complex ,proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
RPS8,P62241,9606.ENSP00000379888,DSB,ribonucleoprotein complex ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPS15A,P62244,9606.ENSP00000318646,0,nucleoplasm ,ribosome biogenesis ,structural constituent of ribosome ,Cell Cycle regulation,coral1,1
RPS16,P62249,9606.ENSP00000251453,DSB,nucleoplasm ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPS14,P62263,9606.ENSP00000385958,DSB,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,Transcription Regulation,slateblue1,9
RPS23,P62266,9606.ENSP00000296674,0, nucleoplasm [GO:0005654],ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPS18,P62269,9606.ENSP00000393241,0,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPS13,P62277,9606.ENSP00000435777,0, cytosolic small ribosomal subunit [GO:0022627],ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPS11,P62280,9606.ENSP00000270625,ForkStall,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
SNRPE,P62304,9606.ENSP00000400591,0,telomerase holoenzyme complex ,"mRNA splicing, via spliceosome ",RNA binding ,RNA Metabolism,gold,8
SNRPF,P62306,9606.ENSP00000266735,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,RNA Metabolism,gold,8
SNRPD1,P62314,9606.ENSP00000300413,HR,SMN-Sm protein complex ,"mRNA splicing, via spliceosome ",RNA binding ,RNA Metabolism,gold,8
SNRPD3,P62318,9606.ENSP00000215829,0,SMN-Sm protein complex ,"mRNA splicing, via spliceosome ",telomerase RNA binding ,Chromatin Organization,darkviolet,2
PSMC6,P62333,9606.ENSP00000401802,0,proteasome complex ,proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
RPL7A,P62424,9606.ENSP00000361076,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
ETF1,P62495,9606.ENSP00000353741,DSB,translation release factor complex ,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay ",RNA binding ,Chromatin Organization,darkviolet,2
RPS4X,P62701,9606.ENSP00000362744,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Transcription Regulation,slateblue1,9
RPL23A,P62750,9606.ENSP00000389103,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPS6,P62753,9606.ENSP00000369757,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Cell Cycle regulation,coral1,1
HIST1H4F,P62805,9606.ENSP00000244537,DSB,CENP-A containing nucleosome [GO:0043505],chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
RAN,P62826,9606.ENSP00000446215,HR,nuclear pore ,nucleocytoplasmic transport ,chromatin binding ,Cell Cycle regulation,coral1,1
RPL23,P62829,9606.ENSP00000420311,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,p53 Pathway,tomato,5
RAP1A,P62834,9606.ENSP00000358723,0,cell junction ,cellular response to cAMP ,GTPase activity ,Chromatin Organization,darkviolet,2
RPS15,P62841,9606.ENSP00000466010,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,p53 Pathway,tomato,5
RPS24,P62847,9606.ENSP00000414321,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPS25,P62851,9606.ENSP00000435096,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPL10A,P62906,9606.ENSP00000363018,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPL11,P62913,9606.ENSP00000496250,HR,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,Chromatin Organization,darkviolet,2
PPIA,P62937,9606.ENSP00000419425,DSB,nucleus ,positive regulation of NF-kappaB transcription factor activity ,unfolded protein binding ,Chromatin Organization,darkviolet,2
FKBP1A,P62942,9606.ENSP00000383003,0,ryanodine receptor complex ,protein refolding ,unfolded protein binding ,Chromatin Organization,darkviolet,2
RPS27A,P62979,9606.ENSP00000272317,HR, cytosolic small ribosomal subunit [GO:0022627],ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RAC1,P63000,9606.ENSP00000348461,0,NADPH oxidase complex ,positive regulation of DNA replication ,histone deacetylase binding ,Cell Cycle regulation,coral1,1
GNAI1,P63096,9606.ENSP00000497260,0,nucleolus,protein folding,GTPase activity,UPR,maroon,10
EIF5A,P63241,9606.ENSP00000336702,0,nuclear pore ,"transcription, DNA-templated ",RNA binding ,p53 Pathway,tomato,5
RACK1,P63244,9606.ENSP00000426909,DSB,IRE1-RACK1-PP2A complex ,cell cycle ,RNA binding ,Cell Cycle regulation,coral1,1
ACTG1,P63261,9606.ENSP00000458162,NER,filamentous actin ,"transcription, DNA-templated ",ubiquitin protein ligase binding ,Transcription Regulation,slateblue1,9
YBX1,P67809,9606.ENSP00000361626,0,CRD-mediated mRNA stability complex ,"transcription, DNA-templated ",chromatin binding ,Transcription Regulation,slateblue1,9
CSNK2B,P67870,9606.ENSP00000365042,0,protein kinase CK2 complex ,Wnt signaling pathway ,protein kinase regulator activity ,DNA Repair,firebrick1,3
EEF1A1,P68104,9606.ENSP00000339063,0, eukaryotic translation elongation factor 1 complex [GO:0005853],translational initiation,ribosome binding ,Ribosome Biosynthesis,lightgreen,7
TUBA1B,P68363,9606.ENSP00000336799,DSB,microtubule ,microtubule cytoskeleton organization ,ubiquitin protein ligase binding ,Cell Cycle regulation,coral1,1
H3-3B,P68431,9606.ENSP00000352252,0,nucleosome,nucleosome assembly,structural constituent of chromatin,Chromatin Organization,darkviolet,2
NOP14,P78316,9606.ENSP00000405068,0,small-subunit processome,rRNA processing,RNA binding,Ribosome Biosynthesis,lightgreen,7
GTF2I,P78347,9606.ENSP00000460070,0,nucleoplasm ,"transcription, DNA-templated ",DNA binding ,Transcription Regulation,slateblue1,9
RAE1,P78406,9606.ENSP00000379181,0,nuclear pore ,"transcription, DNA-templated ",RNA binding ,Cell Cycle regulation,coral1,1
PRKDC,P78527,9606.ENSP00000313420,NHEJ,DNA-dependent protein kinase complex ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
ADARB1,P78563,9606.ENSP00000353920,0,nucleolus,RNA processing,adenosine deaminase activity,RNA Metabolism,gold,8
BASP1,P80723,9606.ENSP00000319281,0,chromatin,negative regulation of transcription,~transcription corepressor activity,Transcription Regulation,slateblue1,9
ARF1,P84077,9606.ENSP00000440005,0, focal adhesion [GO:0005925], intracellular protein transport,GTPase activity ,p53 Pathway,tomato,5
ERH,P84090,9606.ENSP00000451080,HR,methylosome ,cell cycle ,RNA binding ,Cell Cycle regulation,coral1,1
RHOG,P84095,9606.ENSP00000339467,0,cell cortex ,"transcription, DNA-templated ",protein kinase binding ,Transcription Regulation,slateblue1,9
RPL19,P84098,9606.ENSP00000225430,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
ATP2C1,P98194,9606.ENSP00000421326,0,endoplasmic reticulum,calcium ion transport,calcium-transporting ATPase activity,Cell Cycle regulation,coral1,1
HNRNPU,Q00839,9606.ENSP00000491215,0,telomerase holoenzyme complex ,chromatin organization ,transcription corepressor activity ,Chromatin Organization,darkviolet,2
SPTBN1,Q01082,9606.ENSP00000349259,NHEJ,nucleolus ,actin filament capping ,RNA binding ,Cell Cycle regulation,coral1,1
SET,Q01105,9606.ENSP00000361777,DSB,chromatin ,chromatin organization ,chromatin binding ,Chromatin Organization,darkviolet,2
FABP5,Q01469,9606.ENSP00000297258,0,nucleoplasm ,lipid metabolic process ,lipid binding ,Cell Cycle regulation,coral1,1
FLI1,Q01543,9606.ENSP00000433488,ForkStall,chromatin ,"transcription, DNA-templated ",chromatin binding ,DNA Repair,firebrick1,3
SLC7A5,Q01650,9606.ENSP00000261622,0,amino acid transport complex [GO:1990184],amino acid import across plasma membrane,antiporter activity,Cell Cycle regulation,coral1,1
EXOSC10,Q01780,9606.ENSP00000366135,HR,exosome (RNase complex) ,rRNA processing ,3'-5'-exoribonuclease activity ,Ribosome Biosynthesis,lightgreen,7
EWSR1,Q01844,9606.ENSP00000400142,0,nucleolus ,rRNA processing ,transcription cofactor activity ,Transcription Regulation,slateblue1,9
OGDH,Q02218,9606.ENSP00000388183,HR,oxoglutarate dehydrogenase complex ,2-oxoglutarate metabolic process ,heat shock protein binding ,Chromatin Organization,darkviolet,2
RPL18A,Q02543,9606.ENSP00000222247,HR,ribosome,translation,structural constituent of ribosome,Ribosome Biosynthesis,lightgreen,7
RPL6,Q02878,9606.ENSP00000403172,HR,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
SLC25A11,Q02978,9606.ENSP00000225665,0,nucleus,alpha-ketoglutarate transport,succinate transmembrane transporter activity,Chromatin Organization,darkviolet,2
LMNB2,Q03252,9606.ENSP00000327054,0,nuclear envelope ,nuclear envelope organization ,lamin binding ,Chromatin Organization,darkviolet,2
CEBPZ,Q03701,9606.ENSP00000234170,DSB,CCAAT-binding factor complex ,"transcription, DNA-templated ",transcription coactivator activity ,Transcription Regulation,slateblue1,9
KRT17,Q04695,9606.ENSP00000308452,HR, cytoskeleton [GO:0005856],actin filament capping ,actin filament organization ,DNA Repair,firebrick1,3
SSBP1,Q04837,9606.ENSP00000419665,0,nucleus ,DNA duplex unwinding ,chromatin binding ,DNA Repair,firebrick1,3
CSTF1,Q05048,9606.ENSP00000217109,0,mRNA cleavage stimulating factor complex,mRNA 3'-end processing,RNA binding,RNA Metabolism,gold,8
SRSF11,Q05519,9606.ENSP00000359988,NER,nuclear speck ,"mRNA splicing, via spliceosome ",RNA binding ,RNA Metabolism,gold,8
CALD1,Q05682,9606.ENSP00000354826,0,cytoskeleton,actin filament bundle assembly,actin binding,Cell Cycle regulation,coral1,1
EXOSC9,Q06265,9606.ENSP00000368984,DSB,exosome (RNase complex) ,rRNA processing ,3'-5'-exoribonuclease activity ,Transcription Regulation,slateblue1,9
PRDX1,Q06830,9606.ENSP00000262746,BER,nucleus ,cell cycle ,RNA binding ,DNA Repair,firebrick1,3
RPL18,Q07020,9606.ENSP00000447001,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
C1QBP,Q07021,9606.ENSP00000225698,NHEJ,nucleolus ,"mRNA splicing, via spliceosome ",transcription corepressor activity ,Ribosome Biosynthesis,lightgreen,7
KHDRBS1,Q07666,9606.ENSP00000313829,0,nucleoplasm ,"transcription, DNA-templated ",mRNA binding ,Cell Cycle regulation,coral1,1
MCL1,Q07820,9606.ENSP00000358022,DSB,Bcl-2 family protein complex,regulation of apoptotic process,BH3 domain binding,Cell Cycle regulation,coral1,1
DHX9,Q08211,9606.ENSP00000356520,NER,RISC complex ,DNA duplex unwinding ,transcription coactivator activity ,DNA Repair,firebrick1,3
CRYZ,Q08257,9606.ENSP00000399805,0,GO:0005829~cytosol,xenobiotic catabolic process,mRNA 3'-UTR binding,RNA Metabolism,gold,8
GOLGA2,Q08379,9606.ENSP00000416097,0, COPII-coated ER to Golgi transport vesicle [GO:0030134],cell division ,protein kinase binding ,Cell Cycle regulation,coral1,1
SSRP1,Q08945,9606.ENSP00000278412,DSB,FACT complex ,chromatin organization ,chromatin binding ,DNA Repair,firebrick1,3
NSUN2,Q08J23,9606.ENSP00000264670,0,chromatoid body ,cell division ,methyltransferase activity ,Chromatin Organization,darkviolet,2
RBBP4,Q09028,9606.ENSP00000362592,DSB,NuRD complex ,ATP-dependent chromatin remodeling ,histone deacetylase binding ,Chromatin Organization,darkviolet,2
AHNAK,Q09666,9606.ENSP00000367263,0,actin cytoskeleton [GO:0015629],RNA splicing ,RNA binding ,DNA Repair,firebrick1,3
CPSF1,Q10570,9606.ENSP00000484669,HR,mRNA cleavage and polyadenylation specificity factor complex ,mRNA polyadenylation ,mRNA binding ,RNA Metabolism,gold,8
NUP160,Q12769,9606.ENSP00000367721,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
TBL3,Q12788,9606.ENSP00000454836,0,nucleolus,rRNA processing,RNA binding,Ribosome Biosynthesis,lightgreen,7
ASPH,Q12797,9606.ENSP00000368767,0,calcium channel complex ,"transcription, DNA-templated ",calcium ion binding ,Transcription Regulation,slateblue1,9
SMARCB1,Q12824,9606.ENSP00000340883,DSB,SWI/SNF complex,nucleosome disassembl,p53 binding,Chromatin Organization,darkviolet,2
CDC20,Q12834,9606.ENSP00000361540,0,anaphase-promoting complex,regulation of mitotic cell cycle,anaphase-promoting complex binding,Cell Cycle regulation,coral1,1
GRSF1,Q12849,9606.ENSP00000254799,0,nucleoplasm,positive regulation of mitochondrial RNA catabolic process,RNA binding,RNA Metabolism,gold,8
NFIA,Q12857,9606.ENSP00000360231,0,chromatin,regulation of transcription,transcriptional activator activity,Transcription Regulation,slateblue1,9
SF3A3,Q12874,9606.ENSP00000362110,HR,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,RNA Metabolism,gold,8
TP53BP1,Q12888,9606.ENSP00000371475,NHEJ,site of double-strand break,double-strand break repair via nonhomologous end joining,p53 binding,DNA Repair,firebrick1,3
ILF2,Q12905,9606.ENSP00000355011,NHEJ,ribonucleoprotein complex ,"transcription, DNA-templated ",DNA binding ,Transcription Regulation,slateblue1,9
ILF3,Q12906,9606.ENSP00000404121,0,ribonucleoprotein complex ,"transcription, DNA-templated ",DNA binding ,Transcription Regulation,slateblue1,9
TRAP1,Q12931,9606.ENSP00000246957,HR,nucleoplasm ,chaperone-mediated protein folding ,protein kinase binding ,Transcription Regulation,slateblue1,9
CSTF3,Q12996,9606.ENSP00000315791,0,nucleoplasm ,mRNA polyadenylation ,mRNA binding ,RNA Metabolism,gold,8
FLII,Q13045,9606.ENSP00000324573,0,nucleus,actin cytoskeleton organization,actin binding,Cell Cycle regulation,coral1,1
ACACA,Q13085,9606.ENSP00000483300,SSB,actin cytoskeleton ,acetyl-CoA biosynthetic process ,damaged DNA binding ,Cell Cycle regulation,coral1,1
TARDBP,Q13148,9606.ENSP00000240185,DSB,nucleoplasm ,3'-UTR-mediated mRNA destabilization ,RNA binding ,Cell Cycle regulation,coral1,1
HNRNPA0,Q13151,9606.ENSP00000316042,0,nucleoplasm ,3'-UTR-mediated mRNA stabilization ,mRNA binding ,Cell Cycle regulation,coral1,1
AIMP2,Q13155,9606.ENSP00000223029,0,aminoacyl-tRNA synthetase multienzyme complex [GO:0017101],RNA processing ,RNA binding ,p53 Pathway,tomato,5
PRDX4,Q13162,9606.ENSP00000368646,0,nucleus,response to oxidative stress,peroxidase activity,Transcription Regulation,slateblue1,9
CBX3,Q13185,9606.ENSP00000336687,0,chromatin lock complex ,chromatin organization ,histone methyltransferase binding ,DNA Repair,firebrick1,3
PSMD2,Q13200,9606.ENSP00000310129,0, proteasome complex [GO:0000502],proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
SRSF6,Q13247,9606.ENSP00000244020,0,nuclear speck ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
TRIM28,Q13263,9606.ENSP00000253024,DSB,RNA polymerase II transcription regulator complex ,chromatin organization ,transcription corepressor activity ,DNA Repair,firebrick1,3
G3BP1,Q13283,9606.ENSP00000377681,0,ribonucleoprotein complex ,DNA duplex unwinding ,RNA helicase activity ,DNA Repair,firebrick1,3
PABPC4,Q13310,9606.ENSP00000361949,0,ribonucleoprotein complex ,rRNA processing ,mRNA binding ,RNA Metabolism,gold,8
MTA1,Q13330,9606.ENSP00000333633,0,NuRD complex ,ATP-dependent chromatin remodeling ,histone deacetylase binding ,DNA Repair,firebrick1,3
DYNC1I2,Q13409,9606.ENSP00000380308,0,dynein complex,transport along microtubule,dynein heavy chain binding,Cell Cycle regulation,coral1,1
ORC2,Q13416,9606.ENSP00000234296,MMR,origin recognition complex ,DNA duplex unwinding ,DNA replication origin binding ,Transcription Regulation,slateblue1,9
TCOF1,Q13428,9606.ENSP00000367028,0,nucleolus ,ribosome biogenesis ,RNA binding ,DNA Repair,firebrick1,3
SF3B2,Q13435,9606.ENSP00000318861,NHEJ,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,RNA Metabolism,gold,8
PICALM,Q13492,9606.ENSP00000377015,0,nucleus,negative regulation of gene expression,"phosphatidylinositol-4,5-bisphosphate binding",Transcription Regulation,slateblue1,9
SQSTM1,Q13501,9606.ENSP00000374455,0,PML body,ubiquitin-dependent protein catabolic process,ubiquitin binding,UPR,maroon,10
TUBB3,Q13509,9606.ENSP00000320295,0,"microtubule cytoskeleton,GO:0030027~lamellipodium,GO:0030175~filopodium,GO:0030424~axon,GO:0030425~dendrite,GO:0030426~growth cone,GO:0043025~neuronal cell body,GO:0045171~intercellular bridge,GO:0070062~extracellular exosome,GO:0071944~cell periphery,GO:0072686~mitotic spindle,",mitotic cell cycle,structural constituent of cytoskeleton,Cell Cycle regulation,coral1,1
HDAC1,Q13547,9606.ENSP00000362649,0,NuRD complex ,histone deacetylation ,histone deacetylase binding ,Chromatin Organization,darkviolet,2
SNW1,Q13573,9606.ENSP00000261531,HR,spliceosomal complex ,histone H3-K4 methylation ,transcription coactivator activity ,DNA Repair,firebrick1,3
IQGAP2,Q13576,9606.ENSP00000274364,0,cytoplasm,regulation of GTPase activity,small GTPase binding,Cell Cycle regulation,coral1,1
PWP1,Q13610,9606.ENSP00000387365,0,nucleolus,histone H4-K20 trimethylation,H4K20me3 modified histone binding,Transcription Regulation,slateblue1,9
SPTAN1,Q13813,9606.ENSP00000361824,0,spectrin ,actin filament capping ,structural constituent of cytoskeleton ,DNA Repair,firebrick1,3
GNL2,Q13823,9606.ENSP00000362153,DSB,nucleolus ,ribosome biogenesis ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
PKP1,Q13835,9606.ENSP00000263946,DSB,messenger ribonucleoprotein complex ,"transcription, DNA-templated ",lamin binding ,DNA Repair,firebrick1,3
DDX39B,Q13838,9606.ENSP00000416269,HR,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA helicase activity ,DNA Repair,firebrick1,3
EXOSC2,Q13868,9606.ENSP00000361433,DSB,exosome (RNase complex) ,RNA processing ,3'-5'-exoribonuclease activity ,Ribosome Biosynthesis,lightgreen,7
HNRNPD,Q14103,9606.ENSP00000313199,HR,mCRD-mediated mRNA stability complex ,"transcription, DNA-templated ",histone deacetylase binding ,Chromatin Organization,darkviolet,2
BOP1,Q14137,9606.ENSP00000455106,0,PeBoW complex,rRNA processing,RNA binding,RNA Metabolism,gold,8
URB2,Q14146,9606.ENSP00000258243,0,nucleolus,ribosome biogenesis,0,Ribosome Biosynthesis,lightgreen,7
EIF3A,Q14152,9606.ENSP00000358140,NHEJ, eukaryotic translation initiation factor 3 complex [GO:0005852],translational initiation,ribosome binding ,Ribosome Biosynthesis,lightgreen,7
UBAP2L,Q14157,9606.ENSP00000389445,0,PcG protein complex ,stress granule assembly ,RNA binding ,Cell Cycle regulation,coral1,1
SCRIB,Q14160,9606.ENSP00000349486,BER,Scrib-APC-beta-catenin complex ,"transcription, DNA-templated ",cadherin binding ,Cell Cycle regulation,coral1,1
GNA13,Q14344,9606.ENSP00000400717,0,nucleus,Rho protein signal transduction,G-protein coupled receptor binding,Cell Cycle regulation,coral1,1
CAPRIN1,Q14444,9606.ENSP00000340329,0,P-body,negative regulation of translation,mRNA binding,RNA Metabolism,gold,8
RBM39,Q14498,9606.ENSP00000253363,NER,nuclear speck ,RNA processing ,RNA binding ,RNA Metabolism,gold,8
HLTF,Q14527,9606.ENSP00000308944,ForkStall,RNA polymerase II transcription factor complex,protein ubiquitination,ubiquitin protein ligase activity,Chromatin Organization,darkviolet,2
MCM6,Q14566,9606.ENSP00000264156,HR,MCM complex ,DNA duplex unwinding ,DNA helicase activity ,DNA Repair,firebrick1,3
MDC1,Q14676,9606.ENSP00000365588,DSB,chromosome ,DNA repair ,damaged DNA binding ,DNA Repair,firebrick1,3
USP10,Q14694,9606.ENSP00000457411,0,nucleoplasm ,DNA repair ,p53 binding ,DNA Repair,firebrick1,3
LBR,Q14739,9606.ENSP00000339883,0,nuclear envelope,cholesterol biosynthetic process,lamin binding,Nuclear Pore,deepskyblue3,4
KIF22,Q14807,9606.ENSP00000160827,DSB,kinesin complex,mitotic cell cycle,DNA binding,Cell Cycle regulation,coral1,1
LASP1,Q14847,9606.ENSP00000325240,0,cytoskeleton,\ion transmembrane transport,actin filament binding,Cell Cycle regulation,coral1,1
ZNF638,Q14966,9606.ENSP00000386433,0,nucleolus ,rRNA processing ,transcription cofactor activity ,RNA Metabolism,gold,8
KPNB1,Q14974,9606.ENSP00000290158,0,nuclear pore ,nucleocytoplasmic transport ,RNA binding ,Cell Cycle regulation,coral1,1
NOLC1,Q14978,9606.ENSP00000385410,DSB,box C/D RNP complex ,rRNA processing ,RNA binding ,Cell Cycle regulation,coral1,1
NUMA1,Q14980,9606.ENSP00000377298,0,chromosome ,cell cycle ,microtubule binding ,Cell Cycle regulation,coral1,1
SEPT2,Q15019,9606.ENSP00000479861,0,septin complex ,cell cycle ,GTPase activity ,Cell Cycle regulation,coral1,1
SART3,Q15020,9606.ENSP00000228284,0,ASAP complex ,chromatin organization ,histone binding ,Chromatin Organization,darkviolet,2
EXOSC7,Q15024,9606.ENSP00000265564,0,nuclear exosome,RNA catabolic process,exoribonuclease activity,RNA Metabolism,gold,8
EFTUD2,Q15029,9606.ENSP00000392094,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,RNA Metabolism,gold,8
LARS2,Q15031,9606.ENSP00000498867,0,mitochondrion,tRNA aminoacylation for protein translation,aminoacyl-tRNA editing activity,Ribosome Biosynthesis,lightgreen,7
KARS,Q15046,9606.ENSP00000325448,0,aminoacyl-tRNA synthetase multienzyme complex ,"transcription, DNA-templated ",RNA binding ,p53 Pathway,tomato,5
RRS1,Q15050,9606.ENSP00000322396,DSB,condensed nuclear chromosome ,chromatin organization ,RNA binding ,Cell Cycle regulation,coral1,1
EIF4H,Q15056,9606.ENSP00000265753,0, eukaryotic translation initiation factor 4F complex [GO:0016281],translational initiation,ribosome binding ,Ribosome Biosynthesis,lightgreen,7
WDR43,Q15061,9606.ENSP00000384302,DSB,chromatin ,chromatin organization ,RNA polymerase II core binding ,Transcription Regulation,slateblue1,9
NONO,Q15233,9606.ENSP00000276079,0,RNA polymerase II transcription regulator complex ,"mRNA splicing, via spliceosome ",chromatin binding ,DNA Repair,firebrick1,3
PWP2,Q15269,9606.ENSP00000291576,0,Pwp2p-containing subcomplex of 90S preribosome ,ribosome biogenesis ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
RNPS1,Q15287,9606.ENSP00000457723,0,ASAP complex ,chromatin organization ,mRNA binding ,RNA Metabolism,gold,8
PCBP1,Q15365,9606.ENSP00000305556,NER,nuclear speck ,"transcription, DNA-templated ",mRNA binding ,RNA Metabolism,gold,8
PCBP2,Q15366,9606.ENSP00000352438,DSB,nucleoplasm ,"transcription, DNA-templated ",ubiquitin protein ligase binding ,RNA Metabolism,gold,8
DHCR24,Q15392,9606.ENSP00000360316,0,nucleus,negative regulation of cell proliferation,delta24(24-1) sterol reductase activity,Cell Cycle regulation,coral1,1
SF3B3,Q15393,9606.ENSP00000305790,DSB,SAGA complex ,"mRNA splicing, via spliceosome ",mRNA binding ,Cell Cycle regulation,coral1,1
SF3A2,Q15428,9606.ENSP00000221494,HR, spliceosomal complex,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
SF3A1,Q15459,9606.ENSP00000215793,HR,spliceosomal complex ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
SF1,Q15637,9606.ENSP00000366604,HR,spliceosomal complex ,"mRNA splicing, via spliceosome ",transcription corepressor activity ,Transcription Regulation,slateblue1,9
MED1,Q15648,9606.ENSP00000300651,HR,mediator complex ,"transcription, DNA-templated ",transcription coactivator activity ,DNA Repair,firebrick1,3
JMJD1C,Q15652,9606.ENSP00000382204,HR,histone deacetylase complex ,chromatin organization ,chromatin binding ,Chromatin Organization,darkviolet,2
ELAVL1,Q15717,9606.ENSP00000385269,RLOOPS,ribonucleoprotein complex ,mRNA stabilization ,protein kinase binding ,Nuclear Pore,deepskyblue3,4
SEPT7,Q16181,9606.ENSP00000413507,0,kinetochore ,cell cycle ,GTPase activity ,Cell Cycle regulation,coral1,1
